Date,Close/Last,Volume,Open,High,Low
07/15/2022,$720.2,23227670,$720,$730.8699,$710.67
07/14/2022,$714.94,26185830,$704.69,$715.96,$688
07/13/2022,$711.12,32651500,$676.5,$726.1799,$675.1
07/12/2022,$699.21,29310320,$710.54,$719.32,$685.105
07/11/2022,$703.03,33169740,$756.31,$759.19,$700.88
07/08/2022,$752.29,33951360,$727,$764.9399,$723.4843
07/07/2022,$733.63,27310230,$701.76,$736.085,$696.63
07/06/2022,$695.2,23951210,$692.34,$703.69,$681.56
07/05/2022,$699.2,28259700,$669,$699.44,$648.5001
07/01/2022,$681.79,24820150,$681,$690.69,$666.3601
06/30/2022,$673.42,31533480,$673.53,$688.37,$656.59
06/29/2022,$685.47,27632420,$691.5,$693.52,$666.82
06/28/2022,$697.99,30222170,$733.45,$749.91,$697.03
06/27/2022,$734.76,29726100,$748.1,$756.21,$727.6966
06/24/2022,$737.12,31923570,$712.405,$738.2,$708.26
06/23/2022,$705.21,34734230,$713.715,$717.95,$685.91
06/22/2022,$708.26,33842420,$703.51,$740.5,$701.48
06/21/2022,$711.11,40930990,$673.81,$730.7321,$673
06/17/2022,$650.28,30880590,$640.3,$662.9082,$639.59
06/16/2022,$639.3,35796900,$668.21,$675.5,$626.08
06/15/2022,$699,39710650,$662.75,$706.9899,$654.45
06/14/2022,$662.67,32662930,$654.86,$678.99,$635.21
06/13/2022,$647.21,34255750,$669.5,$679.9,$644.05
06/10/2022,$696.69,32696970,$705.47,$718.5,$683.74
06/09/2022,$719.12,32163770,$748.02,$766.6399,$717.98
06/08/2022,$725.6,25403540,$720.26,$749.89,$717.53
06/07/2022,$716.66,24269530,$702,$719.99,$690.28
06/06/2022,$714.84,28068170,$733.06,$734.6,$703.05
06/03/2022,$703.55,37464580,$729.675,$743.3899,$700.2534
06/02/2022,$775,31157710,$732.47,$792.63,$726.2
06/01/2022,$740.37,25749320,$755.16,$771.98,$730.92
05/31/2022,$758.26,33971460,$773.84,$778.8,$734.23
05/27/2022,$759.63,29764990,$723.25,$759.8,$720.5311
05/26/2022,$707.73,35334450,$661.42,$718.6699,$653.66
05/25/2022,$658.8,30713110,$623.85,$669.32,$623.0101
05/24/2022,$628.16,29697510,$653.53,$653.92,$620.57
05/23/2022,$674.9,29634550,$655.02,$679.9551,$638.06
05/20/2022,$663.9,48324440,$713.99,$721.582,$633
05/19/2022,$709.42,30098890,$707,$734,$694.11
05/18/2022,$709.81,29270600,$744.52,$760.5,$700.81
05/17/2022,$761.61,26745370,$747.36,$764.48,$728.85
05/16/2022,$724.37,28699510,$767.16,$769.76,$719.0885
05/13/2022,$769.59,30716910,$773.48,$787.3499,$751.565
05/12/2022,$728,46770950,$701,$759.66,$680
05/11/2022,$734,32408150,$795,$809.77,$727.2
05/10/2022,$800.04,28133880,$819.31,$825.36,$774.25
05/09/2022,$787.11,30270070,$836.45,$845.63,$781.15
